Unnamed: 0_level_0 Squad,Unnamed: 1_level_0 # Pl,Unnamed: 2_level_0 90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Unnamed: 17_level_0 Ast,Unnamed: 18_level_0 xAG,Expected xA,Expected A-xAG,Unnamed: 21_level_0 KP,Unnamed: 22_level_0 1/3,Unnamed: 23_level_0 PPA,Unnamed: 24_level_0 CrsPA,Unnamed: 25_level_0 PrgP
md Sheriff Tiraspol,18,6.0,1772,2329,76.1,33025,12613,713,821,86.8,806,930,86.7,202,435,46.4,3,2.6,1.9,0.4,27,91,18,2,113
cz Slavia Prague,27,8.0,3093,3917,79.0,61027,22651,1086,1277,85.0,1509,1744,86.5,430,709,60.6,12,7.9,8.0,4.1,76,254,78,26,350
cz Sparta Prague,24,10.0,3329,4343,76.7,61815,24271,1333,1548,86.1,1554,1823,85.2,360,738,48.8,14,10.9,8.4,3.1,80,231,52,15,264
pt Sporting CP,25,10.0,4916,5890,83.5,86180,29904,2157,2417,89.2,2174,2453,88.6,445,741,60.1,8,9.8,11.2,-1.8,88,334,64,15,359
at Sturm Graz,22,6.0,1404,2167,64.8,25406,10561,624,786,79.4,544,761,71.5,185,461,40.1,2,3.9,3.4,-1.9,41,100,21,7,127
fr Toulouse,24,8.0,2678,3521,76.1,49949,18704,1099,1305,84.2,1201,1454,82.6,306,574,53.3,7,7.4,7.0,-0.4,62,184,48,14,268
rs TSC,22,6.0,1817,2351,77.3,33097,12380,747,861,86.8,857,1013,84.6,179,373,48.0,4,3.2,2.0,0.8,32,108,26,9,144
be Union SG,19,6.0,1758,2453,71.7,32383,14536,714,866,82.4,752,969,77.6,218,425,51.3,4,7.8,6.0,-3.8,53,146,54,11,234
es Villarreal,29,8.0,3462,4134,83.7,63142,21182,1405,1559,90.1,1626,1814,89.6,363,593,61.2,10,7.0,7.9,3.0,74,279,69,17,342
eng West Ham,25,10.0,4204,5154,81.6,72473,25441,1991,2200,90.5,1684,1960,85.9,404,688,58.7,12,10.0,11.4,2.0,90,304,75,18,390
ch Young Boys,19,2.0,679,858,79.1,11904,4774,310,353,87.8,274,324,84.6,69,130,53.1,0,0.6,1.9,-0.6,12,54,10,3,57
