Unnamed: 0_level_0 Rk,Unnamed: 1_level_0 Player,Unnamed: 2_level_0 Nation,Unnamed: 3_level_0 Pos,Unnamed: 4_level_0 Squad,Unnamed: 5_level_0 Comp,Unnamed: 6_level_0 Age,Unnamed: 7_level_0 Born,Unnamed: 8_level_0 90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Unnamed: 21_level_0 Int,Unnamed: 22_level_0 Tkl+Int,Unnamed: 23_level_0 Clr,Unnamed: 24_level_0 Err,Unnamed: 25_level_0 Matches
502,Josué Casimir,fr FRA,"FW,MF",Le Havre,fr Ligue 1,22,2001,22.2,37,26,15,15,7,9,18,50.0,9,19,0,19,7,44,35,1,Matches
503,Federico Cassa,it ITA,"MF,FW",Atalanta,it Serie A,18,2006,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
504,Cristian Cásseres Jr.,ve VEN,MF,Toulouse,fr Ligue 1,24,2000,30.0,96,61,41,43,12,46,88,52.3,42,35,9,26,42,138,36,1,Matches
505,Timothy Castagne,be BEL,DF,Fulham,eng Premier League,28,1995,18.3,46,29,28,15,3,26,45,57.8,19,15,6,9,22,68,83,0,Matches
506,Valentín Castellanos,ar ARG,FW,Lazio,it Serie A,25,1998,26.5,13,6,2,4,7,1,10,10.0,9,18,2,16,6,19,25,0,Matches
507,Jean-Charles Castelletto,cm CMR,"DF,MF",Nantes,fr Ligue 1,29,1995,29.1,34,17,17,15,2,17,27,63.0,10,27,18,9,25,59,151,0,Matches
508,Santiago Castro,ar ARG,FW,Bologna,it Serie A,19,2004,25.5,18,10,4,9,5,6,17,35.3,11,13,2,11,3,21,20,0,Matches
509,Gaetano Castrovilli,it ITA,MF,Monza,it Serie A,27,1997,6.6,12,7,10,2,0,4,11,36.4,7,8,2,6,2,14,9,0,Matches
510,Gaetano Castrovilli,it ITA,"MF,FW",Lazio,it Serie A,27,1997,1.6,5,2,3,1,1,2,4,50.0,2,3,0,3,3,8,1,0,Matches
511,Danilo Cataldi,it ITA,MF,Fiorentina,it Serie A,29,1994,19.2,25,16,13,10,2,14,27,51.9,13,17,8,9,22,47,35,0,Matches
512,Catena,es ESP,DF,Osasuna,es La Liga,29,1994,34.2,46,28,34,10,2,27,44,61.4,17,40,25,15,35,81,221,2,Matches
513,Maximiliano Caufriez,be BEL,DF,Valencia,es La Liga,27,1997,1.0,1,1,1,0,0,1,1,100.0,0,2,1,1,1,2,4,0,Matches
514,Enzo Caumont,fr FRA,MF,Angers,fr Ligue 1,20,2004,0.4,1,1,0,1,0,1,2,50.0,1,1,1,0,1,2,1,0,Matches
515,Dani Ceballos,es ESP,MF,Real Madrid,es La Liga,27,1996,13.5,41,21,17,18,6,20,40,50.0,20,16,4,12,14,55,10,2,Matches
516,Abdoulie Ceesay,gm GAM,FW,St. Pauli,de Bundesliga,20,2004,0.7,3,3,1,1,1,2,3,66.7,1,2,0,2,0,3,1,0,Matches
517,Zeki Çelik,tr TUR,DF,Roma,it Serie A,27,1997,25.1,62,37,21,31,10,23,43,53.5,20,28,9,19,15,77,84,3,Matches
518,Fabien Centonze,fr FRA,DF,Nantes,fr Ligue 1,28,1996,2.9,8,4,5,2,1,4,6,66.7,2,4,1,3,2,10,17,0,Matches
519,Alberto Cerri,it ITA,FW,Como,it Serie A,28,1996,1.0,0,0,0,0,0,0,0,,0,2,0,2,0,0,1,0,Matches
520,Franco Cervi,ar ARG,"FW,MF",Celta Vigo,es La Liga,30,1994,3.0,8,3,2,6,0,3,8,37.5,5,4,0,4,8,16,7,0,Matches
521,Julian Chabot,de GER,DF,Stuttgart,de Bundesliga,26,1998,25.2,37,24,19,15,3,15,32,46.9,17,29,19,10,38,75,135,0,Matches
522,El Chadaille Bitshiabu,fr FRA,DF,RB Leipzig,de Bundesliga,19,2005,12.6,27,18,17,9,1,10,19,52.6,9,25,14,11,13,40,97,2,Matches
523,Fares Chaïbi,dz ALG,"MF,FW",Eint Frankfurt,de Bundesliga,21,2002,11.3,13,9,4,5,4,7,20,35.0,13,10,0,10,10,23,32,1,Matches
524,Trevoh Chalobah,eng ENG,DF,Crystal Palace,eng Premier League,25,1999,11.8,20,16,7,12,1,12,23,52.2,11,19,9,10,19,39,57,3,Matches
525,Trevoh Chalobah,eng ENG,DF,Chelsea,eng Premier League,25,1999,10.1,11,7,5,6,0,7,8,87.5,1,6,3,3,10,21,48,1,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
526,Timothy Chandler,us USA,DF,Eint Frankfurt,de Bundesliga,34,1990,0.3,0,0,0,0,0,0,0,,0,0,0,0,3,3,2,0,Matches
527,Conor Chaplin,eng ENG,"MF,FW",Ipswich Town,eng Premier League,27,1997,9.5,15,5,6,6,3,6,14,42.9,8,8,1,7,4,19,3,0,Matches
528,Brendan Chardonnet,fr FRA,DF,Brest,fr Ligue 1,29,1994,26.8,45,33,28,14,3,25,40,62.5,15,45,28,17,29,74,169,2,Matches
529,Gabriel Charpentier,cg CGO,FW,Parma,it Serie A,25,1999,3.0,4,3,2,1,1,3,4,75.0,1,3,0,3,0,4,9,0,Matches
530,Raúl Chasco,es ESP,DF,Valladolid,es La Liga,20,2003,1.4,4,1,3,1,0,2,4,50.0,2,1,0,1,2,6,2,0,Matches
531,Anrie Chase,jp JPN,DF,Stuttgart,de Bundesliga,20,2004,8.2,10,4,6,4,0,5,7,71.4,2,10,6,4,9,19,35,0,Matches
532,Pep Chavarría,es ESP,"DF,FW",Rayo Vallecano,es La Liga,26,1998,28.7,46,36,30,14,2,28,45,62.2,17,35,9,26,30,76,108,1,Matches
533,Arthur Chaves,br BRA,DF,Hoffenheim,de Bundesliga,23,2001,24.3,51,36,28,19,4,25,50,50.0,25,47,20,27,37,88,136,3,Matches
534,Jhoanner Chávez,ec ECU,"DF,MF",Lens,fr Ligue 1,22,2002,6.6,9,5,4,4,1,2,7,28.6,5,10,1,9,6,15,13,0,Matches
535,Walid Cheddira,ma MAR,FW,Napoli,it Serie A,26,1998,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
536,Walid Cheddira,ma MAR,FW,Espanyol,es La Liga,26,1998,7.1,5,0,1,1,3,0,1,0.0,1,4,0,4,1,6,6,0,Matches
537,Chema,es ESP,MF,Real Madrid,es La Liga,19,2005,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
538,Théo Chennahi,fr FRA,DF,Montpellier,fr Ligue 1,19,2005,2.0,6,3,3,3,0,4,7,57.1,3,3,0,3,2,8,6,0,Matches
539,Sidiki Cherif,fr FRA,FW,Angers,fr Ligue 1,17,2006,3.6,5,5,1,3,1,3,4,75.0,1,4,1,3,0,5,0,1,Matches
540,Rayan Cherki,fr FRA,"FW,MF",Lyon,fr Ligue 1,20,2003,22.7,15,12,3,8,4,6,28,21.4,22,6,0,6,7,22,6,0,Matches
541,Youssef Chermiti,pt POR,"FW,MF",Everton,eng Premier League,20,2004,0.5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
542,Lucas Chevalier,fr FRA,GK,Lille,fr Ligue 1,22,2001,34.0,3,2,3,0,0,3,4,75.0,1,0,0,0,0,3,13,4,Matches
543,Fabio Chiarodia,it ITA,DF,Gladbach,de Bundesliga,19,2005,4.2,10,4,6,4,0,4,6,66.7,2,8,3,5,9,19,53,1,Matches
544,Julián Chicco,ar ARG,"MF,DF",Leganés,es La Liga,26,1998,3.4,11,7,3,6,2,5,8,62.5,3,2,0,2,4,15,10,0,Matches
545,Leandro Chichizola,ar ARG,GK,Parma,it Serie A,34,1990,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
546,Federico Chiesa,it ITA,FW,Liverpool,eng Premier League,26,1997,1.2,1,0,0,1,0,0,2,0.0,2,1,0,1,0,1,1,1,Matches
547,Ben Chilwell,eng ENG,DF,Crystal Palace,eng Premier League,27,1996,2.9,7,6,4,3,0,1,5,20.0,4,6,2,4,6,13,16,0,Matches
548,Chiquinho,pt POR,MF,Wolves,eng Premier League,24,2000,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
549,Chiquinho,pt POR,"MF,FW",Mallorca,es La Liga,24,2000,1.6,1,0,0,1,0,0,7,0.0,7,3,0,3,2,3,0,0,Matches
550,Pedro Chirivella,es ESP,MF,Nantes,fr Ligue 1,27,1997,26.1,44,29,23,16,5,19,42,45.2,23,25,4,21,19,63,45,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
551,Joris Chotard,fr FRA,MF,Montpellier,fr Ligue 1,22,2001,21.0,39,27,17,20,2,20,46,43.5,26,28,10,18,19,58,52,1,Matches
552,Hamza Choudhury,bd BAN,"MF,DF",Leicester City,eng Premier League,26,1997,1.5,1,1,1,0,0,1,3,33.3,2,4,2,2,5,6,2,0,Matches
553,Andreas Christensen,dk DEN,DF,Barcelona,es La Liga,28,1996,2.8,6,4,4,1,1,4,4,100.0,0,2,0,2,4,10,9,0,Matches
554,Ryan Christie,sct SCO,MF,Bournemouth,eng Premier League,29,1995,23.5,54,33,19,27,8,27,64,42.2,37,44,11,33,30,84,51,3,Matches
555,Carney Chukwuemeka,eng ENG,MF,Dortmund,de Bundesliga,20,2003,2.8,7,5,3,2,2,1,1,100.0,0,5,0,5,1,8,1,0,Matches
556,Samuel Chukwueze,ng NGA,"FW,MF",Milan,it Serie A,25,1999,10.3,17,11,7,6,4,5,19,26.3,14,3,0,3,2,19,9,0,Matches
557,Aaron Ciammaglichella,it ITA,MF,Torino,it Serie A,19,2005,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
558,Jasper Cillessen,nl NED,GK,Las Palmas,es La Liga,35,1989,25.9,1,0,1,0,0,1,4,25.0,3,0,0,0,0,1,11,2,Matches
559,Giuseppe Ciocci,it ITA,GK,Cagliari,it Serie A,22,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
560,Alessandro Circati,au AUS,DF,Parma,it Serie A,20,2003,6.0,7,5,6,1,0,1,2,50.0,1,5,4,1,3,10,42,1,Matches
561,Pathé Ciss,sn SEN,"MF,DF",Rayo Vallecano,es La Liga,30,1994,23.8,49,24,26,22,1,20,41,48.8,21,31,10,21,40,89,61,3,Matches
562,Alphadjo Cissè,it ITA,"FW,MF",Hellas Verona,it Serie A,17,2006,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
563,Djaoui Cissé,fr FRA,MF,Rennes,fr Ligue 1,20,2004,12.5,33,18,12,15,6,16,26,61.5,10,29,4,25,13,46,11,1,Matches
564,Seydouba Cissé,gn GUI,MF,Leganés,es La Liga,23,2001,27.1,59,37,18,27,14,23,50,46.0,27,25,1,24,12,71,45,1,Matches
565,Yoann Cissé,fr FRA,MF,Auxerre,fr Ligue 1,19,2004,0.1,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Matches
566,Patrick Ciurria,it ITA,"MF,DF",Monza,it Serie A,29,1995,12.3,22,14,11,7,4,4,11,36.4,7,13,3,10,6,28,22,0,Matches
567,Harry Clarke,eng ENG,DF,Ipswich Town,eng Premier League,23,2001,4.2,5,3,3,2,0,3,6,50.0,3,5,4,1,4,9,14,3,Matches
568,Jack Clarke,eng ENG,"FW,MF",Ipswich Town,eng Premier League,23,2000,13.1,32,20,11,10,11,17,34,50.0,17,9,0,9,7,39,29,2,Matches
569,Alexis Claude-Maurice,fr FRA,"MF,FW",Augsburg,de Bundesliga,26,1998,23.4,41,26,12,15,14,17,34,50.0,17,16,0,16,15,56,8,1,Matches
570,Jonathan Clauss,fr FRA,"DF,MF",Nice,fr Ligue 1,31,1992,25.6,52,35,27,19,6,28,56,50.0,28,25,2,23,48,100,68,3,Matches
571,Silvi Clúa,es ESP,MF,Girona,es La Liga,19,2005,1.8,8,7,4,3,1,4,6,66.7,2,1,0,1,2,10,6,0,Matches
572,Nathaniel Clyne,eng ENG,"DF,MF",Crystal Palace,eng Premier League,33,1991,5.4,12,8,8,3,1,6,11,54.5,5,4,2,2,3,15,14,1,Matches
573,Conor Coady,eng ENG,DF,Leicester City,eng Premier League,31,1993,19.0,13,9,6,6,1,3,6,50.0,3,32,24,8,13,26,71,2,Matches
574,Marcus Coco,fr FRA,DF,Nantes,fr Ligue 1,28,1996,10.6,27,21,15,9,3,16,31,51.6,15,16,5,11,11,38,46,0,Matches
575,Saúl Coco,gq EQG,DF,Torino,it Serie A,25,1999,31.6,46,26,31,14,1,19,30,63.3,11,49,31,18,38,84,157,4,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
576,Séamus Coleman,ie IRL,DF,Everton,eng Premier League,35,1988,2.4,3,2,2,1,0,3,4,75.0,1,5,3,2,1,4,8,0,Matches
577,Nathan Collins,ie IRL,DF,Brentford,eng Premier League,23,2001,38.0,40,24,23,12,5,22,36,61.1,14,77,57,20,34,74,226,3,Matches
578,Nnamdi Collins,de GER,DF,Eint Frankfurt,de Bundesliga,20,2004,16.5,33,24,24,7,2,17,22,77.3,5,22,11,11,16,49,74,3,Matches
579,Toby Collyer,eng ENG,MF,Manchester Utd,eng Premier League,20,2004,2.0,12,9,6,6,0,5,6,83.3,1,2,1,1,2,14,3,0,Matches
580,Lorenzo Colombo,it ITA,"FW,MF",Empoli,it Serie A,22,2002,24.8,31,14,7,16,8,7,21,33.3,14,33,2,31,2,33,16,1,Matches
581,Andrea Colpani,it ITA,"FW,MF",Fiorentina,it Serie A,25,1999,16.1,15,9,5,7,3,4,12,33.3,8,7,0,7,9,24,10,0,Matches
582,Levi Colwill,eng ENG,DF,Chelsea,eng Premier League,21,2003,35.0,47,34,25,19,3,18,27,66.7,9,37,25,12,33,80,118,4,Matches
583,Florinel Coman,ro ROU,"FW,MF",Cagliari,it Serie A,26,1998,2.9,5,3,3,1,1,2,2,100.0,0,2,0,2,1,6,3,0,Matches
584,Kingsley Coman,fr FRA,FW,Bayern Munich,de Bundesliga,28,1996,14.2,17,12,6,6,5,8,12,66.7,4,12,0,12,8,25,15,0,Matches
585,Eray Cömert,ch SUI,"DF,MF",Valladolid,es La Liga,26,1998,19.8,24,14,15,9,0,12,21,57.1,9,28,15,13,24,48,75,2,Matches
586,Santi Comesaña,es ESP,MF,Villarreal,es La Liga,27,1996,28.4,85,49,44,32,9,42,76,55.3,34,56,22,34,19,104,56,1,Matches
587,Pietro Comuzzo,it ITA,DF,Fiorentina,it Serie A,19,2005,24.4,43,21,29,11,3,23,29,79.3,6,35,22,13,29,72,113,4,Matches
588,Francisco Conceição,pt POR,"FW,MF",Juventus,it Serie A,21,2002,14.9,23,14,6,9,8,13,30,43.3,17,7,0,7,6,29,6,0,Matches
589,Diego Conde,es ESP,GK,Villarreal,es La Liga,25,1998,21.8,2,2,2,0,0,2,4,50.0,2,0,0,0,1,3,9,2,Matches
590,Tomás Conechny,ar ARG,"FW,MF",Alavés,es La Liga,26,1998,9.4,15,12,6,7,2,9,27,33.3,18,14,2,12,6,21,10,0,Matches
591,Alois Confais,fr FRA,MF,Le Havre,fr Ligue 1,27,1996,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
592,Sirlord Conteh,de GER,"FW,MF",Heidenheim,de Bundesliga,28,1996,9.9,9,5,3,6,0,2,7,28.6,5,1,1,0,1,10,8,0,Matches
593,Lewis Cook,eng ENG,"MF,DF",Bournemouth,eng Premier League,27,1997,33.1,81,42,41,36,4,37,67,55.2,30,30,11,19,41,122,70,0,Matches
594,Copete,es ESP,DF,Mallorca,es La Liga,24,1999,17.0,29,17,18,10,1,11,12,91.7,1,24,16,8,17,46,123,2,Matches
595,Diego Coppola,it ITA,DF,Hellas Verona,it Serie A,20,2003,32.5,66,36,48,14,4,28,40,70.0,12,44,24,20,72,138,194,2,Matches
596,Francis Coquelin,fr FRA,MF,Nantes,fr Ligue 1,33,1991,2.5,9,5,5,3,1,3,4,75.0,1,3,1,2,6,15,3,0,Matches
597,Iker Córdoba,es ESP,DF,Valencia,es La Liga,18,2005,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
598,Derek Cornelius,ca CAN,DF,Marseille,fr Ligue 1,26,1997,15.8,24,17,15,8,1,17,22,77.3,5,16,10,6,14,38,51,0,Matches
599,Maxwel Cornet,ci CIV,FW,Southampton,eng Premier League,27,1996,0.8,5,5,1,4,0,0,4,0.0,4,0,0,0,0,5,2,0,Matches
600,Maxwel Cornet,ci CIV,"FW,MF",Genoa,it Serie A,27,1996,2.7,2,1,1,0,1,0,1,0.0,1,1,1,0,2,4,2,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
601,Pierre Cornud,fr FRA,DF,Saint-Étienne,fr Ligue 1,27,1996,6.4,12,10,6,4,2,8,17,47.1,9,9,4,5,9,21,28,1,Matches
602,Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,es La Liga,29,1995,8.9,9,3,4,1,4,5,15,33.3,10,10,0,10,4,13,8,0,Matches
603,Joaquín Correa,ar ARG,"FW,MF",Inter,it Serie A,29,1994,8.1,11,5,4,7,0,4,13,30.8,9,3,0,3,0,11,6,0,Matches
604,Thierry Correia,pt POR,DF,Valencia,es La Liga,25,1999,8.5,27,18,19,5,3,13,23,56.5,10,10,1,9,4,31,18,0,Matches
605,Alberto costa,pt POR,DF,Juventus,it Serie A,20,2003,4.0,14,10,7,5,2,7,9,77.8,2,5,1,4,4,18,14,0,Matches
606,Coba da Costa,es ESP,"MF,FW",Getafe,es La Liga,22,2002,11.2,29,13,9,16,4,13,26,50.0,13,24,0,24,8,37,10,0,Matches
607,Danny da Costa,de GER,DF,Mainz 05,de Bundesliga,31,1993,22.3,42,23,23,15,4,17,27,63.0,10,19,10,9,27,69,95,3,Matches
608,David Costa,pt POR,"MF,FW",Lens,fr Ligue 1,23,2001,3.9,2,0,1,1,0,1,4,25.0,3,5,1,4,1,3,0,0,Matches
609,Logan Costa,cv CPV,DF,Villarreal,es La Liga,23,2001,28.7,38,21,25,12,1,24,29,82.8,5,25,14,11,21,59,115,2,Matches
610,Logan Costa,cv CPV,DF,Toulouse,fr Ligue 1,23,2001,1.0,2,1,0,2,0,1,1,100.0,0,2,2,0,2,4,4,0,Matches
611,Samu Costa,pt POR,MF,Mallorca,es La Liga,23,2000,29.4,90,44,45,42,3,35,79,44.3,44,48,15,33,32,122,85,1,Matches
612,Grégoire Coudert,fr FRA,GK,Brest,fr Ligue 1,25,1999,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
613,Vladimír Coufal,cz CZE,DF,West Ham,eng Premier League,31,1992,11.9,22,15,13,7,2,10,22,45.5,12,13,11,2,8,30,39,1,Matches
614,Lassana Coulibaly,ml MLI,MF,Lecce,it Serie A,28,1996,29.6,48,29,16,28,4,24,61,39.3,37,45,12,33,18,66,46,1,Matches
615,Lasso Coulibaly,ci CIV,"FW,MF",Auxerre,fr Ligue 1,21,2002,0.5,1,1,0,0,1,0,0,,0,0,0,0,0,1,0,0,Matches
616,Mamadou Coulibaly,fr FRA,MF,Monaco,fr Ligue 1,20,2004,0.1,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,Matches
617,Soumaïla Coulibaly,fr FRA,DF,Brest,fr Ligue 1,20,2003,4.9,4,2,2,2,0,1,1,100.0,0,7,2,5,5,9,26,0,Matches
618,Tanguy Coulibaly,fr FRA,"FW,MF",Montpellier,fr Ligue 1,23,2001,16.5,32,24,13,15,4,14,33,42.4,19,18,2,16,11,43,3,1,Matches
619,Woyo Coulibaly,ml MLI,DF,Leicester City,eng Premier League,25,1999,1.2,6,4,4,2,0,2,2,100.0,0,3,1,2,5,11,1,0,Matches
620,Woyo Coulibaly,ml MLI,DF,Parma,it Serie A,25,1999,12.0,13,10,9,2,2,5,11,45.5,6,19,2,17,8,21,25,0,Matches
621,Marius Courcoul,fr FRA,"MF,DF",Angers,fr Ligue 1,17,2007,3.4,5,2,3,2,0,2,5,40.0,3,4,0,4,5,10,9,0,Matches
622,Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,32,1992,30.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,15,1,Matches
623,Yan Couto,br BRA,"DF,FW",Dortmund,de Bundesliga,22,2002,9.9,24,16,17,2,5,14,25,56.0,11,12,1,11,10,34,32,2,Matches
624,Nicolas Cozza,fr FRA,"DF,MF",Nantes,fr Ligue 1,25,1999,22.8,59,41,35,18,6,31,47,66.0,16,25,10,15,25,84,69,0,Matches
625,Aaron Cresswell,eng ENG,DF,West Ham,eng Premier League,34,1989,9.2,11,7,5,5,1,9,11,81.8,2,9,4,5,8,19,37,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
626,Charlie Cresswell,eng ENG,DF,Toulouse,fr Ligue 1,21,2002,28.8,35,23,19,15,1,28,46,60.9,18,44,28,16,28,63,191,3,Matches
627,Bryan Cristante,it ITA,MF,Roma,it Serie A,29,1995,22.7,48,29,18,24,6,15,26,57.7,11,20,10,10,19,67,36,1,Matches
628,Domen Črnigoj,si SVN,MF,Venezia,it Serie A,28,1995,1.5,4,2,0,1,3,1,2,50.0,1,5,2,3,4,8,4,0,Matches
629,Juan Cruz Armada,es ESP,DF,Osasuna,es La Liga,32,1992,16.6,26,14,11,13,2,15,24,62.5,9,15,4,11,9,35,68,0,Matches
630,Juan Cruz,es ESP,"FW,MF",Leganés,es La Liga,24,2000,25.1,32,19,14,16,2,17,35,48.6,18,18,2,16,13,45,31,0,Matches
631,Juan Cuadrado,co COL,"DF,MF",Atalanta,it Serie A,36,1988,9.2,19,9,9,6,4,11,23,47.8,12,14,2,12,7,26,9,0,Matches
632,Pau Cubarsí,es ESP,DF,Barcelona,es La Liga,17,2007,29.1,34,23,21,10,3,19,30,63.3,11,12,9,3,16,50,86,1,Matches
633,Cucho,co COL,FW,Betis,es La Liga,25,1999,12.7,15,10,2,5,8,6,11,54.5,5,13,1,12,7,22,4,0,Matches
634,Marc Cucurella,es ESP,DF,Chelsea,eng Premier League,26,1998,33.2,67,45,31,31,5,32,61,52.5,29,49,16,33,28,95,95,3,Matches
635,Jorge Cuenca,es ESP,DF,Fulham,eng Premier League,24,1999,3.9,6,2,5,1,0,3,8,37.5,5,4,4,0,2,8,26,0,Matches
636,Matheus Cunha,br BRA,"MF,FW",Wolves,eng Premier League,25,1999,28.9,38,22,17,16,5,13,39,33.3,26,21,1,20,17,55,23,0,Matches
637,Patrick Cutrone,it ITA,FW,Como,it Serie A,26,1998,22.7,16,11,0,10,6,7,14,50.0,7,11,0,11,5,21,7,0,Matches
638,Tomáš Čvančara,cz CZE,FW,Gladbach,de Bundesliga,23,2000,9.2,4,1,3,1,0,2,7,28.6,5,6,3,3,5,9,17,0,Matches
639,Wylan Cyprien,fr FRA,MF,Parma,it Serie A,29,1995,0.3,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,0,0,Matches
640,Danilo D'Ambrosio,it ITA,DF,Monza,it Serie A,35,1988,12.2,28,15,17,10,1,14,23,60.9,9,12,8,4,15,43,36,2,Matches
641,Lucas Da Cunha,fr FRA,MF,Como,it Serie A,23,2001,29.0,45,25,17,19,9,20,39,51.3,19,18,3,15,17,62,30,1,Matches
642,Samuel Dahl,se SWE,"DF,MF",Roma,it Serie A,24,2000,0.5,2,2,0,2,0,1,2,50.0,1,2,0,2,0,2,0,0,Matches
643,Finn Dahmen,de GER,GK,Augsburg,de Bundesliga,26,1998,19.0,1,0,1,0,0,1,2,50.0,1,0,0,0,0,1,9,0,Matches
644,Thomas Dähne,de GER,GK,Holstein Kiel,de Bundesliga,30,1994,9.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,7,2,Matches
645,Mahmoud Dahoud,de GER,MF,Eint Frankfurt,de Bundesliga,28,1996,4.0,9,4,4,5,0,4,6,66.7,2,5,1,4,2,11,5,0,Matches
646,Patson Daka,zm ZAM,"FW,MF",Leicester City,eng Premier League,25,1998,8.2,19,10,6,9,4,7,18,38.9,11,7,1,6,1,20,12,0,Matches
647,Ameen Al-Dakhil,be BEL,DF,Stuttgart,de Bundesliga,22,2002,4.8,6,6,4,2,0,4,4,100.0,0,12,8,4,9,15,30,1,Matches
648,Thijs Dallinga,nl NED,FW,Bologna,it Serie A,23,2000,12.8,10,5,0,4,6,3,3,100.0,0,10,1,9,1,11,13,1,Matches
649,Diogo Dalot,pt POR,DF,Manchester Utd,eng Premier League,25,1999,31.3,68,40,40,22,6,34,52,65.4,18,22,9,13,37,105,72,0,Matches
650,Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,eng Premier League,24,2000,32.3,83,44,27,29,27,31,81,38.3,50,40,3,37,27,110,31,2,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
651,Maat Daniel Caprini,it ITA,FW,Fiorentina,it Serie A,18,2006,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
652,Flavius Daniliuc,at AUT,DF,Hellas Verona,it Serie A,23,2001,11.2,26,21,14,9,3,15,24,62.5,9,10,3,7,7,33,27,0,Matches
653,Danilo,br BRA,"MF,FW",Nott'ham Forest,eng Premier League,23,2001,3.1,8,4,7,1,0,3,6,50.0,3,2,1,1,4,12,3,0,Matches
654,Danilo,br BRA,DF,Juventus,it Serie A,33,1991,6.5,10,4,7,2,1,5,10,50.0,5,4,3,1,9,19,21,1,Matches
655,Arnaut Danjuma,nl NED,FW,Villarreal,es La Liga,27,1997,2.2,2,1,0,1,1,0,1,0.0,1,1,0,1,0,2,0,0,Matches
656,Arnaut Danjuma,nl NED,"FW,MF",Girona,es La Liga,27,1997,14.8,8,6,3,3,2,2,7,28.6,5,5,1,4,2,10,4,0,Matches
657,Jayden Danns,eng ENG,MF,Liverpool,eng Premier League,18,2006,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
658,Kévin Danois,fr FRA,MF,Auxerre,fr Ligue 1,20,2004,16.2,49,30,20,22,7,20,46,43.5,26,17,3,14,20,69,20,0,Matches
659,Kevin Danso,at AUT,DF,Tottenham,eng Premier League,25,1998,9.4,7,5,4,3,0,6,11,54.5,5,15,14,1,6,13,71,1,Matches
660,Kevin Danso,at AUT,DF,Lens,fr Ligue 1,25,1998,12.0,19,7,12,5,2,12,16,75.0,4,25,19,6,20,39,62,1,Matches
661,Dante,br BRA,DF,Nice,fr Ligue 1,40,1983,21.8,32,15,17,13,2,15,29,51.7,14,29,14,15,34,66,74,1,Matches
