Unnamed: 0_level_0 Rk,Unnamed: 1_level_0 Player,Unnamed: 2_level_0 Nation,Unnamed: 3_level_0 Pos,Unnamed: 4_level_0 Squad,Unnamed: 5_level_0 Comp,Unnamed: 6_level_0 Age,Unnamed: 7_level_0 Born,Playing Time MP,Playing Time Starts,Playing Time Min,Unnamed: 11_level_0 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,Unnamed: 27_level_0 Matches
161,Matvei Safonov,ru RUS,GK,Paris S-G,fr Ligue 1,25,1999,10,9,879,9.8,9,0.92,25,17,72.0,7,1,1,3,33.3,2,2,0,0,0.0,Matches
162,Brice Samba,fr FRA,GK,Rennes,fr Ligue 1,30,1994,17,17,1529,17.0,27,1.59,87,58,70.1,7,0,10,5,29.4,3,1,2,0,66.7,Matches
163,Brice Samba,fr FRA,GK,Lens,fr Ligue 1,30,1994,15,15,1350,15.0,14,0.93,54,40,81.5,6,6,3,7,46.7,4,4,0,0,0.0,Matches
164,Robert Sánchez,es ESP,GK,Chelsea,eng Premier League,26,1997,32,32,2880,32.0,34,1.06,127,92,76.4,17,9,6,10,31.3,5,4,1,0,20.0,Matches
165,Kauã Santos,br BRA,GK,Eint Frankfurt,de Bundesliga,21,2003,9,8,765,8.5,12,1.41,46,35,76.1,5,1,2,3,37.5,1,1,0,0,0.0,Matches
166,Razvan Sava,ro ROU,GK,Udinese,it Serie A,22,2002,12,12,1080,12.0,16,1.33,51,37,74.5,5,4,3,4,33.3,3,3,0,0,0.0,Matches
167,Alexander Schwolow,de GER,GK,Union Berlin,de Bundesliga,32,1992,6,6,540,6.0,13,2.17,28,15,57.1,2,0,4,0,0.0,1,1,0,0,0.0,Matches
168,Simone Scuffet,it ITA,GK,Cagliari,it Serie A,28,1996,13,13,1170,13.0,23,1.77,56,33,67.9,3,3,7,1,7.7,5,5,0,0,0.0,Matches
169,Simone Scuffet,it ITA,GK,Napoli,it Serie A,28,1996,1,1,90,1.0,1,1.00,4,3,75.0,0,1,0,0,0.0,0,0,0,0,,Matches
170,Jacopo Seghetti,it ITA,GK,Empoli,it Serie A,19,2005,1,1,90,1.0,3,3.00,6,3,50.0,0,0,1,0,0.0,0,0,0,0,,Matches
171,Matz Sels,be BEL,GK,Nott'ham Forest,eng Premier League,32,1992,38,38,3420,38.0,46,1.21,165,119,73.9,19,8,11,13,34.2,3,3,0,0,0.0,Matches
172,Alen Sherri,al ALB,GK,Cagliari,it Serie A,26,1997,7,7,621,6.9,11,1.59,31,20,64.5,1,2,4,1,14.3,0,0,0,0,,Matches
173,Benjamin Siegrist,ch SUI,GK,Genoa,it Serie A,32,1992,2,2,152,1.7,2,1.18,12,10,83.3,1,1,0,0,0.0,0,0,0,0,,Matches
174,Rui Silva,pt POR,GK,Betis,es La Liga,30,1994,15,15,1350,15.0,18,1.20,54,37,72.2,5,5,5,4,26.7,3,3,0,0,0.0,Matches
175,Marco Silvestri,it ITA,GK,Empoli,it Serie A,33,1991,5,5,450,5.0,11,2.20,27,17,59.3,0,1,4,0,0.0,0,0,0,0,,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
176,Unai Simón,es ESP,GK,Athletic Club,es La Liga,27,1997,21,21,1890,21.0,14,0.67,62,47,79.0,10,8,3,10,47.6,2,1,1,0,50.0,Matches
177,Tobias Sippel,de GER,GK,Gladbach,de Bundesliga,36,1988,1,0,59,0.7,3,4.58,4,1,25.0,0,0,0,0,,0,0,0,0,,Matches
178,Antonio Sivera,es ESP,GK,Alavés,es La Liga,27,1996,32,32,2810,31.2,39,1.25,112,75,73.2,9,10,13,8,25.0,9,9,0,0,0.0,Matches
179,Łukasz Skorupski,pl POL,GK,Bologna,it Serie A,33,1991,27,27,2364,26.3,33,1.26,82,50,61.0,11,12,4,8,29.6,2,1,1,0,50.0,Matches
180,Daniele Sommariva,it ITA,GK,Genoa,it Serie A,27,1997,1,0,28,0.3,1,3.21,3,2,66.7,0,0,0,0,,0,0,0,0,,Matches
181,Yann Sommer,ch SUI,GK,Inter,it Serie A,35,1988,33,33,2970,33.0,32,0.97,116,84,75.0,20,8,5,13,39.4,4,3,1,0,25.0,Matches
182,David Soria,es ESP,GK,Getafe,es La Liga,31,1993,38,38,3420,38.0,39,1.03,126,86,75.4,11,9,18,9,23.7,9,8,1,0,11.1,Matches
183,Juan Soriano,es ESP,GK,Leganés,es La Liga,26,1997,6,6,540,6.0,7,1.17,25,19,72.0,1,2,3,1,16.7,0,0,0,0,,Matches
184,Marco Sportiello,it ITA,GK,Milan,it Serie A,32,1992,2,1,126,1.4,2,1.43,6,4,66.7,1,0,0,1,100.0,0,0,0,0,,Matches
185,Filip Stankovic,rs SRB,GK,Venezia,it Serie A,22,2002,16,16,1367,15.2,23,1.51,83,60,77.1,2,6,8,0,0.0,5,4,1,0,20.0,Matches
186,Jason Steele,eng ENG,GK,Brighton,eng Premier League,33,1990,2,2,180,2.0,1,0.50,4,3,75.0,2,0,0,1,50.0,0,0,0,0,,Matches
187,Jakub Stolarczyk,pl POL,GK,Leicester City,eng Premier League,23,2000,10,10,900,10.0,16,1.60,44,28,63.6,3,1,6,2,20.0,0,0,0,0,,Matches
188,Zion Suzuki,jp JPN,GK,Parma,it Serie A,21,2002,36,36,3240,36.8,53,1.47,150,99,68.0,7,15,15,7,19.4,5,5,0,0,0.0,Matches
189,Mile Svilar,rs SRB,GK,Roma,it Serie A,24,1999,38,38,3420,38.0,35,0.92,151,117,79.5,20,9,9,16,42.1,4,4,0,0,0.0,Matches
190,Wojciech Szczęsny,pl POL,GK,Barcelona,es La Liga,34,1990,15,15,1350,15.0,12,0.80,33,21,66.7,14,1,0,8,53.3,1,1,0,0,0.0,Matches
191,Arnau Tenas,es ESP,GK,Paris S-G,fr Ligue 1,23,2001,1,1,90,1.0,1,1.00,4,3,75.0,1,0,0,0,0.0,0,0,0,0,,Matches
192,Marc-André ter Stegen,de GER,GK,Barcelona,es La Liga,32,1992,8,8,674,7.5,9,1.20,22,13,63.6,7,0,1,1,12.5,1,1,0,0,0.0,Matches
193,Pietro Terracciano,it ITA,GK,Fiorentina,it Serie A,34,1990,3,3,270,3.0,3,1.00,13,10,76.9,0,3,0,1,33.3,0,0,0,0,,Matches
194,Kevin Trapp,de GER,GK,Eint Frankfurt,de Bundesliga,34,1990,26,26,2295,25.5,34,1.33,117,82,70.9,12,8,6,6,23.1,2,0,2,0,100.0,Matches
195,Mark Travers,ie IRL,GK,Bournemouth,eng Premier League,25,1999,5,5,450,5.0,5,1.00,25,20,80.0,2,2,1,1,20.0,0,0,0,0,,Matches
196,Stefano Turati,it ITA,GK,Monza,it Serie A,22,2001,30,30,2676,29.7,52,1.75,145,93,65.5,2,7,21,2,6.7,4,2,2,0,50.0,Matches
197,Sven Ulreich,de GER,GK,Bayern Munich,de Bundesliga,35,1988,1,1,90,1.0,0,0.00,0,0,,1,0,0,1,100.0,0,0,0,0,,Matches
198,Jonas Urbig,de GER,GK,Bayern Munich,de Bundesliga,20,2003,8,8,720,8.0,12,1.50,28,16,57.1,4,3,1,2,25.0,0,0,0,0,,Matches
199,Maarten Vandevoordt,be BEL,GK,RB Leipzig,de Bundesliga,22,2002,6,4,429,4.8,9,1.89,21,12,57.1,1,1,2,0,0.0,0,0,0,0,,Matches
200,Nikola Vasilj,ba BIH,GK,St. Pauli,de Bundesliga,28,1995,33,33,2969,33.0,39,1.18,135,93,71.9,8,7,18,9,27.3,5,1,4,0,80.0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
201,Devis Vásquez,co COL,GK,Empoli,it Serie A,26,1998,32,32,2880,32.0,45,1.41,125,79,64.8,6,12,14,6,18.8,3,1,1,1,50.0,Matches
202,Bart Verbruggen,nl NED,GK,Brighton,eng Premier League,21,2002,36,36,3240,36.0,58,1.61,143,87,65.7,14,13,9,7,19.4,9,9,0,0,0.0,Matches
203,Guglielmo Vicario,it ITA,GK,Tottenham,eng Premier League,27,1996,24,24,2160,24.0,37,1.54,102,67,64.7,9,3,12,4,16.7,1,1,0,0,0.0,Matches
204,Fran Vieites,es ESP,GK,Betis,es La Liga,25,1999,4,4,360,4.0,5,1.25,11,6,54.5,1,2,1,0,0.0,0,0,0,0,,Matches
205,Iván Villar,es ESP,GK,Celta Vigo,es La Liga,27,1997,4,4,360,4.0,9,2.25,18,10,50.0,2,0,2,0,0.0,1,0,1,0,100.0,Matches
206,Krapyvtsov Vladyslav,ua UKR,GK,Girona,es La Liga,19,2005,2,2,180,2.0,7,3.50,18,11,66.7,0,0,2,0,0.0,1,1,0,0,0.0,Matches
207,Christian Walton,eng ENG,GK,Ipswich Town,eng Premier League,28,1995,7,7,630,7.0,19,2.71,39,20,56.4,1,1,5,1,14.3,2,2,0,0,0.0,Matches
208,Danny Ward,wls WAL,GK,Leicester City,eng Premier League,31,1993,2,1,135,1.5,6,4.00,10,4,40.0,0,0,1,0,0.0,0,0,0,0,,Matches
209,Timon Weiner,de GER,GK,Holstein Kiel,de Bundesliga,25,1999,25,25,2250,25.0,61,2.44,140,81,59.3,4,5,16,2,8.0,4,4,0,0,0.0,Matches
210,Robin Zentner,de GER,GK,Mainz 05,de Bundesliga,29,1994,32,32,2880,32.0,41,1.28,142,100,73.9,13,9,10,9,28.1,5,4,1,0,20.0,Matches
211,Michael Zetterer,de GER,GK,Werder Bremen,de Bundesliga,29,1995,34,34,3060,34.0,57,1.68,156,102,65.4,14,9,11,10,29.4,3,3,0,0,0.0,Matches
212,Melvin Zinga,fr FRA,GK,Angers,fr Ligue 1,22,2002,1,1,90,1.0,2,2.00,4,2,75.0,0,0,1,0,0.0,1,1,0,0,0.0,Matches
