Unnamed: 0_level_0 Squad,Unnamed: 1_level_0 # Pl,Unnamed: 2_level_0 Age,Unnamed: 3_level_0 Poss,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG
ro CFR Cluj,23,28.1,35.9,8,88,720,8.0,5,2,7,4,1,2,23,1,8.7,7.1,5.2,12.3,65,251,0.62,0.25,0.87,0.5,0.75,1.08,0.65,1.74,0.89,1.54
se Djurgården,24,28.0,46.6,8,88,720,8.0,12,11,23,12,0,0,14,1,8.6,8.6,7.0,15.6,100,239,1.5,1.37,2.87,1.5,2.87,1.07,0.88,1.94,1.07,1.94
ro FCSB,23,24.8,40.0,6,66,540,6.0,3,3,6,3,0,0,15,0,5.2,5.2,3.9,9.1,78,168,0.5,0.5,1.0,0.5,1.0,0.86,0.65,1.51,0.86,1.51
it Fiorentina,29,26.4,60.6,15,165,1380,15.3,36,24,60,35,1,1,41,1,31.1,30.3,24.8,55.2,330,793,2.35,1.57,3.91,2.28,3.85,2.03,1.62,3.65,1.98,3.6
lv FK Rīgas FS,21,28.7,32.5,6,66,540,6.0,2,2,4,2,0,0,19,2,3.8,3.8,2.9,6.7,45,142,0.33,0.33,0.67,0.33,0.67,0.64,0.48,1.11,0.64,1.11
be Gent,29,26.8,56.8,12,132,1110,12.3,18,13,31,17,1,1,17,0,17.5,16.7,13.9,30.6,241,559,1.46,1.05,2.51,1.38,2.43,1.42,1.13,2.55,1.35,2.48
sct Hearts,22,27.4,40.8,6,66,540,6.0,6,5,11,5,1,1,19,1,5.0,4.2,3.4,7.6,72,168,1.0,0.83,1.83,0.83,1.67,0.84,0.56,1.4,0.71,1.27
xk KF Ballkani Therandë,21,26.2,52.2,6,66,540,6.0,8,6,14,8,0,0,18,1,4.5,4.5,3.3,7.9,102,180,1.33,1.0,2.33,1.33,2.33,0.75,0.56,1.31,0.75,1.31
de Köln,22,25.9,60.8,6,66,540,6.0,8,6,14,6,2,3,15,0,12.0,9.6,8.4,18.0,145,312,1.33,1.0,2.33,1.0,2.0,1.99,1.4,3.39,1.61,3.01
it Lazio,22,27.3,56.5,4,44,360,4.0,3,3,6,3,0,0,7,1,4.1,4.1,2.4,6.5,81,122,0.75,0.75,1.5,0.75,1.5,1.02,0.6,1.61,1.02,1.61
pl Lech Poznań,22,26.7,47.7,12,132,1080,12.0,22,17,39,20,2,2,28,0,15.4,13.8,11.3,25.1,166,435,1.83,1.42,3.25,1.67,3.08,1.28,0.94,2.22,1.15,2.09
bg Ludogorets,18,26.6,38.5,2,22,210,2.3,2,2,4,2,0,0,9,1,1.5,1.5,1.3,2.8,32,59,0.86,0.86,1.71,0.86,1.71,0.66,0.54,1.2,0.66,1.2
no Molde,19,25.2,49.7,6,66,540,6.0,9,5,14,8,1,1,20,1,7.9,7.1,4.9,11.9,95,317,1.5,0.83,2.33,1.33,2.17,1.31,0.81,2.12,1.18,1.99
fr Nice,27,26.3,55.8,10,110,930,10.3,15,11,26,14,1,1,18,1,12.3,11.6,8.5,20.1,235,412,1.45,1.06,2.52,1.35,2.42,1.19,0.82,2.01,1.12,1.95
rs Partizan,23,28.6,37.8,8,88,720,8.0,11,5,16,10,1,1,18,2,7.3,6.5,5.3,11.8,80,198,1.37,0.62,2.0,1.25,1.87,0.91,0.66,1.57,0.81,1.47
am Pyunik,20,29.8,43.5,6,66,540,6.0,8,3,11,6,2,2,13,0,6.3,4.7,3.2,8.0,96,195,1.33,0.5,1.83,1.0,1.5,1.05,0.54,1.59,0.79,1.33
az Qarabağ,17,26.4,46.5,2,22,210,2.3,1,1,2,1,0,1,5,0,2.3,1.6,1.5,3.1,49,79,0.43,0.43,0.86,0.43,0.86,0.99,0.64,1.64,0.69,1.33
ie Shamrock Rov,23,28.8,44.8,6,66,540,6.0,1,1,2,1,0,0,20,1,3.3,3.3,2.7,6.0,62,155,0.17,0.17,0.33,0.17,0.33,0.55,0.45,1.0,0.55,1.0
md Sheriff Tiraspol,17,24.2,51.3,4,44,360,4.0,4,1,5,3,1,1,7,0,4.1,3.3,1.8,5.1,55,171,1.0,0.25,1.25,0.75,1.0,1.02,0.45,1.47,0.82,1.28
dk Silkeborg,21,25.5,54.8,6,66,540,6.0,12,10,22,11,1,1,7,1,6.9,6.1,5.1,11.2,115,259,2.0,1.67,3.67,1.83,3.5,1.15,0.85,2.0,1.02,1.87
tr Sivasspor,25,30.4,44.0,8,88,720,8.0,11,8,19,9,2,2,22,3,9.5,8.1,6.5,14.6,106,181,1.37,1.0,2.37,1.13,2.12,1.19,0.82,2.01,1.01,1.83
ua SK Dnipro-1,23,26.1,55.5,8,88,720,8.0,9,8,17,9,0,0,16,0,7.5,7.5,6.5,13.9,127,289,1.13,1.0,2.12,1.13,2.12,0.93,0.81,1.74,0.93,1.74
cz Slavia Prague,23,25.7,66.5,6,66,540,6.0,4,3,7,4,0,1,16,0,10.5,9.9,8.3,18.2,153,384,0.67,0.5,1.17,0.67,1.17,1.75,1.38,3.13,1.65,3.03
cz Slovácko,24,29.9,47.8,6,66,540,6.0,8,5,13,8,0,0,15,0,6.3,6.3,4.3,10.6,87,205,1.33,0.83,2.17,1.33,2.17,1.05,0.72,1.77,1.05,1.77
sk Slovan Bratislava,25,28.6,50.0,8,88,750,8.3,13,9,22,12,1,2,21,0,12.0,10.4,8.4,18.8,161,334,1.56,1.08,2.64,1.44,2.52,1.43,1.01,2.44,1.25,2.25
tr Trabzonspor,16,27.7,66.0,2,22,180,2.0,1,0,1,1,0,1,3,0,4.7,3.9,2.3,6.2,29,85,0.5,0.0,0.5,0.5,0.5,2.34,1.17,3.51,1.95,3.11
li Vaduz,22,26.3,40.3,6,66,540,6.0,5,4,9,5,0,0,13,1,5.6,5.6,4.3,9.9,80,167,0.83,0.67,1.5,0.83,1.5,0.93,0.72,1.65,0.93,1.65
es Villarreal,26,27.3,60.5,8,88,720,8.0,15,11,26,14,1,2,17,0,14.5,12.9,10.2,23.2,181,405,1.87,1.37,3.25,1.75,3.12,1.81,1.28,3.09,1.62,2.9
eng West Ham,31,27.4,50.8,13,143,1170,13.0,28,15,43,22,6,6,30,0,23.5,18.8,15.6,34.4,259,543,2.15,1.15,3.31,1.69,2.85,1.81,1.2,3.01,1.45,2.64
lt Žalgiris,19,27.2,49.0,6,66,540,6.0,5,4,9,5,0,0,11,0,6.1,6.1,4.8,10.9,108,240,0.83,0.67,1.5,0.83,1.5,1.01,0.8,1.82,1.01,1.82
